Site,Latitude,Date,Year,Month,Day,Month_Day,Dateordinal,DayofYear,Total_Count_Site,Simpsons,Shannon,Richness,std_Simpsons,std_Shannon,std_Richness
Andrew Molera,36.278454,2018-06-19,2018,Jun,19,Jun-19,736864,170,563,0.6627813631852746,1.3461948280718263,12,0.2967890664635075,0.0318665813659014,0.26994217585724506
Andrew Molera,36.278454,2019-06-18,2019,Jun,18,Jun-18,737228,169,1210,0.38370759250524644,0.8404598372556291,12,-1.512931791221577,-1.342922763424501,0.26994217585724506
Andrew Molera,36.278454,2021-08-24,2021,Aug,24,Aug-24,738026,236,1174,0.6336829080198852,1.3240504698963949,15,0.10809314885397782,-0.028330613251130437,1.4009927702142506
Andrew Molera,36.278454,2022-06-22,2022,Jun,22,Jun-22,738328,173,1064,0.5293165887437314,1.1164268677592344,11,-0.568695301646552,-0.5927343447084007,-0.10707468892842342
Andrew Molera,36.278454,2023-07-01,2023,Jul,1,Jul-01,738702,182,1575,0.56532139327565,1.216090572708524,12,-0.3352135036993164,-0.32180865810425824,0.26994217585724506
Andrew Molera,36.278454,2024-07-15,2024,Jul,15,Jul-15,739082,197,1268,0.5759923712587671,1.2036089338980622,11,-0.26601498539754836,-0.35573872889973873,-0.10707468892842342
Aquarium,36.619232,2007-05-19,2007,May,19,May-19,732815,139,275,0.4616589250165892,1.1577396734542094,13,-1.0074376633199393,-0.4804296671515145,0.6469590406429135
Aquarium,36.619232,2007-07-28,2007,Jul,28,Jul-28,732885,209,336,0.3604299928926794,0.9881293801515625,15,-1.6638809737013749,-0.9414980690489808,1.4009927702142506
Aquarium,36.619232,2007-10-02,2007,Oct,2,Oct-02,732951,275,267,0.4867505843259835,0.9721107797690306,8,-0.8447247752706983,-0.9850430116063843,-1.2381252832854288
Aquarium,36.619232,2008-05-17,2008,May,17,May-17,733179,138,381,0.3879817654372151,0.9866706697109595,15,-1.4852148908282208,-0.9454634256236544,1.4009927702142506
Aquarium,36.619232,2008-10-04,2008,Oct,4,Oct-04,733319,278,376,0.3491205673758865,0.9005371520958472,13,-1.7372196582947126,-1.1796086684819034,0.6469590406429135
Aquarium,36.619232,2009-05-24,2009,May,24,May-24,733551,144,416,0.21620713623725674,0.6071331142677008,12,-2.599128708406968,-1.9771978253516422,0.26994217585724506
Aquarium,36.619232,2009-10-17,2009,Oct,17,Oct-17,733697,290,317,0.38791279000119794,1.0390282204618881,15,-1.4856621786006403,-0.8031347273947042,1.4009927702142506
Aquarium,36.619232,2010-07-10,2010,Jul,10,Jul-10,733963,191,276,0.36859025032938075,0.9381415314747172,13,-1.6109638254817729,-1.077384972225309,0.6469590406429135
Aquarium,36.619232,2010-10-23,2010,Oct,23,Oct-23,734068,296,369,0.44930481913514786,1.0815722216894355,12,-1.0875508285135553,-0.6874831694948101,0.26994217585724506
Aquarium,36.619232,2011-05-14,2011,May,14,May-14,734271,134,344,0.3667536782154722,0.9250530967547863,14,-1.6228735182238896,-1.1129645562361086,1.023975905428582
Aquarium,36.619232,2012-05-05,2012,May,5,May-05,734628,126,442,0.5195719313366371,1.2174880473285534,16,-0.631886871809674,-0.3180097649050142,1.778009634999919
Aquarium,36.619232,2013-06-22,2013,Jun,22,Jun-22,735041,173,475,0.621301354652454,1.4743573521637259,16,0.02780199384868597,0.38026342105980154,1.778009634999919
Aquarium,36.619232,2014-05-10,2014,May,10,May-10,735363,130,302,0.3775714505731447,0.9405857487700028,11,-1.5527230765623006,-1.0707406150917678,-0.10707468892842342
Aquarium,36.619232,2015-05-30,2015,May,30,May-30,735748,150,470,0.6045365875788232,1.2103713772567053,12,-0.0809131626257197,-0.337355711621842,0.26994217585724506
Aquarium,36.619232,2016-05-14,2016,May,14,May-14,736098,135,375,0.43348306595365416,0.9823987953754267,11,-1.1901507850337385,-0.9570760832910541,-0.10707468892842342
Aquarium,36.619232,2017-05-13,2017,May,13,May-13,736462,133,560,0.665761564017378,1.4910860505248595,13,0.31611489415704463,0.4257386930436175,0.6469590406429135
Aquarium,36.619232,2017-10-01,2017,Oct,1,Oct-01,736603,274,631,0.5749654114154907,1.2501264468781519,15,-0.27267455302317506,-0.2292855817920692,1.4009927702142506
Aquarium,36.619232,2018-05-12,2018,May,12,May-12,736826,132,552,0.5676766879718036,1.1821916922090074,11,-0.3199400298531796,-0.4139593310008388,-0.10707468892842342
Aquarium,36.619232,2019-05-05,2019,May,5,May-05,737184,125,1082,0.4702891996012455,1.0060947962949283,13,-0.9514725760767201,-0.8926609050458257,0.6469590406429135
Aquarium,36.619232,2020-08-19,2020,Aug,19,Aug-19,737656,232,928,0.7220571550794181,1.6586662570405049,16,0.681177168165926,0.8812885096455216,1.778009634999919
Aquarium,36.619232,2021-06-12,2021,Jun,12,Jun-12,737953,163,898,0.5309904581716337,1.1526474574866714,13,-0.557840693528653,-0.49427234045012164,0.6469590406429135
Aquarium,36.619232,2022-07-03,2022,Jul,3,Jul-03,738339,184,1859,0.529735479391851,1.1426189938137712,12,-0.5659789046840432,-0.5215337031252061,0.26994217585724506
Aquarium,36.619232,2023-05-21,2023,May,21,May-21,738661,141,1302,0.5486822732365864,1.2434035971376745,15,-0.4431138718164779,-0.2475609678295648,1.4009927702142506
Aquarium,36.619232,2024-06-30,2024,Jun,30,Jun-30,739067,182,804,0.7188032440537041,1.5504440178283405,13,0.6600764010177377,0.5870973145729332,0.6469590406429135
Asilomar,36.63456,2019-10-03,2019,Oct,3,Oct-03,737335,276,1112,0.59884639543091,1.2037866577881124,13,-0.11781257954054405,-0.3552556045069388,0.6469590406429135
Asilomar,36.63456,2020-08-25,2020,Aug,25,Aug-25,737662,238,2031,0.44777961304218117,0.9880108586194105,13,-1.0974413935494034,-0.9418202578286573,0.6469590406429135
Asilomar,36.63456,2021-08-23,2021,Aug,23,Aug-23,738025,235,2292,0.5215129694083305,1.1217461126089727,13,-0.6192997444872292,-0.5782745163901161,0.6469590406429135
Asilomar,36.63456,2022-08-13,2022,Aug,13,Aug-13,738380,225,2357,0.4202818898012135,0.9157563411381359,12,-1.2757569807390252,-1.138236844677658,0.26994217585724506
Asilomar,36.63456,2023-08-12,2023,Aug,12,Aug-12,738744,224,1765,0.5422160554495641,1.0711590835834113,10,-0.4850456132732036,-0.7157902306512645,-0.4840915537140919
Asilomar,36.63456,2024-07-28,2024,Jul,28,Jul-28,739095,210,1410,0.6195984275352471,1.2265974418460497,12,0.016758954169187466,-0.29324679863302555,0.26994217585724506
Beach Street,37.5244,2018-09-23,2018,Sep,23,Sep-23,736960,266,584,0.6909349373810475,1.45698196822932,9,0.47935767660670736,0.33303019985018734,-0.8611084184997604
Beach Street,37.5244,2019-10-13,2019,Oct,13,Oct-13,737345,286,658,0.7194949873469256,1.4976846666165076,11,0.6645621764557386,0.44367636249085013,-0.10707468892842342
Beach Street,37.5244,2022-09-27,2022,Sep,27,Sep-27,738425,270,771,0.6950359627402429,1.421127227551902,14,0.5059517600003087,0.23556271917619945,1.023975905428582
Big Creek,36.068272,2007-08-18,2007,Aug,18,Aug-18,732906,230,391,0.36554528165781364,0.8661033946465488,11,-1.6307096557778444,-1.2732133501868268,-0.10707468892842342
Big Creek,36.068272,2008-08-16,2008,Aug,16,Aug-16,733270,229,272,0.3254558280876927,0.742673400863368,8,-1.890679340934063,-1.6087452856117466,-1.2381252832854288
Big Creek,36.068272,2009-08-14,2009,Aug,14,Aug-14,733633,226,382,0.48386032897720244,1.111437992274072,11,-0.863467329886202,-0.6062960973734045,-0.10707468892842342
Big Creek,36.068272,2010-08-14,2010,Aug,14,Aug-14,733998,226,289,0.3394607843137255,0.8600357490460598,11,-1.7998608403940122,-1.289707630137783,-0.10707468892842342
Big Creek,36.068272,2011-08-18,2011,Aug,18,Aug-18,734367,230,433,0.6308698999230178,1.4761492188975702,16,0.08985152258672506,0.38513442927103464,1.778009634999919
Big Creek,36.068272,2012-08-14,2012,Aug,14,Aug-14,734729,227,483,0.6171576333943283,1.376773180022733,14,0.000931038649313017,0.11499073375154423,1.023975905428582
Big Creek,36.068272,2013-08-14,2013,Aug,14,Aug-14,735094,226,522,0.4519307844478273,0.9930895543697729,8,-1.0705221260800248,-0.9280143378709298,-1.2381252832854288
Big Creek,36.068272,2014-08-16,2014,Aug,16,Aug-16,735461,228,0,,-0.0,0,,-3.6276276977588737,-4.2542602015707764
Big Creek,36.068272,2015-08-13,2015,Aug,13,Aug-13,735823,225,493,0.6355398341001666,1.317672667558935,14,0.12013483177701222,-0.04566802287463389,1.023975905428582
Big Creek,36.068272,2016-04-09,2016,Apr,9,Apr-09,736063,100,411,0.6900718058275473,1.4786345778150602,13,0.47376049285314603,0.3918906257371536,0.6469590406429135
Big Creek,36.068272,2016-09-29,2016,Sep,29,Sep-29,736236,273,399,0.6668933640634249,1.4493712003200285,14,0.32345432324444723,0.31234109821124373,1.023975905428582
Big Creek,36.068272,2017-06-28,2017,Jun,28,Jun-28,736508,179,369,0.6835454224107458,1.460319608460138,15,0.43143859292734593,0.34210323673590304,1.4009927702142506
Big Creek,36.068272,2018-08-14,2018,Aug,14,Aug-14,736920,226,503,0.6641426342344341,1.4148899925205034,14,0.3056165553551503,0.218607427535648,1.023975905428582
Big Creek,36.068272,2019-08-13,2019,Aug,13,Aug-13,737284,225,540,0.6556654985226413,1.4067129772120164,11,0.25064453389402935,0.19637903969925719,-0.10707468892842342
Big Creek,36.068272,2020-08-13,2020,Aug,13,Aug-13,737650,226,1043,0.6489493064999641,1.4877752019988884,16,0.20709177449983723,0.4167384866936984,1.778009634999919
Big Creek,36.068272,2021-08-09,2021,Aug,9,Aug-09,738011,221,1254,0.557938777874091,1.3104818644652427,13,-0.38308784546892327,-0.06521549270214051,0.6469590406429135
Big Creek,36.068272,2022-08-06,2022,Aug,6,Aug-06,738373,218,743,0.7478569070534331,1.6881452457705086,14,0.8484818530766752,0.9614241544736539,1.023975905428582
Big Creek,36.068272,2023-08-11,2023,Aug,11,Aug-11,738743,223,508,0.7932255509481433,1.939472684467126,18,1.1426857151633099,1.6446323386966597,2.532043364571256
Big Creek,36.068272,2024-08-15,2024,Aug,15,Aug-15,739113,228,665,0.6358275206087508,1.3966855328951215,13,0.12200040400112648,0.1691204480402191,0.6469590406429135
Big Rock,34.035168,2007-10-07,2007,Oct,7,Oct-07,732956,280,296,0.5334631241410903,1.222929208298834,9,-0.5418060974857867,-0.30321851996236465,-0.8611084184997604
